date,key,value
2022-06-24,Rank,102651
2022-06-24,Streak,11
2022-06-25,Rank,102651
2022-06-25,Streak,11
2022-06-26,Rank,103375
2022-06-26,Streak,11
2022-06-27,Rank,103490
2022-06-27,Streak,11
2022-06-28,Rank,103658
2022-06-28,Streak,11
2022-06-29,Rank,103830
2022-06-29,Streak,11
2022-06-30,Rank,103989
2022-06-30,Streak,11
2022-07-01,Rank,104162
2022-07-01,Streak,11
2022-07-02,Rank,104162
2022-07-02,Streak,11
2022-07-03,Rank,104162
2022-07-03,Streak,11
2022-07-04,Rank,104162
2022-07-04,Streak,11
2022-07-05,Rank,104162
2022-07-05,Streak,11
2022-07-06,Rank,104938
2022-07-06,Streak,11
2022-07-07,Rank,104518
2022-07-07,Streak,11
2022-07-08,Rank,104518
2022-07-08,Streak,11
2022-07-09,Rank,104518
2022-07-09,Streak,11
2022-07-10,Rank,104518
2022-07-10,Streak,11
2022-07-11,Rank,104518
2022-07-11,Streak,11
2022-07-12,Rank,105307
2022-07-12,Streak,11
2022-07-13,Rank,105434
2022-07-13,Streak,11
2022-07-14,Rank,105578
2022-07-14,Streak,11
2022-07-15,Rank,105725
2022-07-15,Streak,11
2022-07-16,Rank,105864
2022-07-16,Streak,11
2022-07-17,Rank,105998
2022-07-17,Streak,11
2022-07-18,Rank,106183
2022-07-18,Streak,11
2022-07-19,Rank,106349
2022-07-19,Streak,11
2022-07-20,Rank,106505
2022-07-20,Streak,11
2022-07-21,Rank,106652
2022-07-21,Streak,11
2022-07-22,Rank,106786
2022-07-22,Streak,11
2022-07-23,Rank,106922
2022-07-23,Streak,11
2022-07-24,Rank,107077
2022-07-24,Streak,11
2022-07-25,Rank,107289
2022-07-25,Streak,11
2022-07-26,Rank,107430
2022-07-26,Streak,11
2022-07-27,Rank,107553
2022-07-27,Streak,11
2022-07-28,Rank,107709
2022-07-28,Streak,11
2022-07-29,Rank,107870
2022-07-29,Streak,11
2022-07-30,Rank,108001
2022-07-30,Streak,11
2022-07-31,Rank,108170
2022-07-31,Streak,11
2022-08-01,Rank,108334
2022-08-01,Streak,11
2022-08-02,Rank,108504
2022-08-02,Streak,11
2022-08-03,Rank,108633
2022-08-03,Streak,11
2022-08-04,Rank,108803
2022-08-04,Streak,11
2022-08-05,Rank,108949
2022-08-05,Streak,11
2022-08-06,Rank,109075
2022-08-06,Streak,11
2022-08-07,Rank,109221
2022-08-07,Streak,11
2022-08-08,Rank,109439
2022-08-08,Streak,11
2022-08-09,Rank,109592
2022-08-09,Streak,11
2022-08-11,Rank,109885
2022-08-11,Streak,11
2022-08-11,Rank,109426
2022-08-12,Rank,109426
2022-08-12,Streak,11
2022-08-13,Rank,106606
2022-08-13,Streak,11
2022-08-13,Rank,106723
2022-08-14,Rank,106723
2022-08-14,Streak,11
2022-08-15,Rank,106906
2022-08-15,Streak,11
2022-08-15,Rank,107053
2022-08-16,Rank,107053
2022-08-16,Streak,11
2022-08-16,Rank,107206
2022-08-17,Rank,107206
2022-08-17,Streak,11
2022-08-18,Rank,106188
2022-08-18,Rank,106354
2022-08-18,Streak,11
2022-08-19,Rank,106354
2022-08-19,Streak,11
2022-08-20,Rank,106479
2022-08-20,Streak,11
2022-08-21,Rank,106619
2022-08-21,Streak,11
2022-08-22,Rank,106807
2022-08-22,Streak,11
2022-08-23,Rank,106944
2022-08-23,Streak,11
2022-08-24,Rank,107059
2022-08-24,Streak,11
2022-08-25,Rank,106226
2022-08-25,Streak,11
2022-08-26,Rank,106354
2022-08-26,Streak,11
2022-08-27,Rank,104806
2022-08-27,Streak,11
2022-08-28,Rank,103835
2022-08-28,Streak,11
2022-08-29,Rank,103946
2022-08-29,Streak,11
2022-08-30,Rank,103003
2022-08-30,Streak,11
